text,category,label_id
apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??,unknown_state,1
Ende ammo aa mundu madakki vechulla aa chavitt !! . laletta.,Positive,0
YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa,unknown_state,1
K G F DUBLE,not-malayalam,2
Trailer I'll tannaayy full story uondu,Positive,0
Oru BIGB feel.... ..aiivaaaaa. Pwolichuu,Positive,0
Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam,Positive,0
Rajayude andhya kurbana chollan avan varunuu... #LUCIFER,unknown_state,1
Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu,Positive,0
Annum ennum ennum ikka mass 🤩🥰,Positive,0
vere level trailer and bgm gopi sunder musical,Positive,0
Padam irangiyittu parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha,Mixed_feelings,4
PASSING OF THE CROWN 'TRAILER' 1 | KGF Malayalam | Ft. Mohanlal | Nivin Pauly,not-malayalam,2
E masathew 28 enna date nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm ..,Positive,0
Jelli kettinte trailer bgm pole ind,Positive,0
50 pathu pravasham kandavar adi like,unknown_state,1
E traileril ntha chekutan undo,Positive,0
any one from nov 2 2k19,not-malayalam,2
Adh suraj aanenn sound kett maathram kandpidichavar adi like..,unknown_state,1
17 k view 119 k like 12 k dislike... ??,not-malayalam,2
mallu students canada arelum? like here,unknown_state,1
kalakki Kalakki. Onnum parayan illa,Positive,0
Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.,Positive,0
L U C I F E R,unknown_state,1
Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke,unknown_state,1
Vere level of making nd lalettan was awesome,Positive,0
raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans,not-malayalam,2
M A M A N G A M,unknown_state,1
Looks like 2017 malyalam movie Y And english movie Buried,not-malayalam,2
Next Week china povan irikkana njan ithu kandeche njan povathullu,Positive,0
Dislike adichavarodu pucham maathram.. Lal fansine uddeshichu maathramanennu thettidarikallu ketto🤣,unknown_state,1
peter hein nte stunt ella cinema il um ore pattern aanallo,Mixed_feelings,4
Thuvanathumbikalile jayakrishnane orma vannavar like adi,unknown_state,1
Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me,unknown_state,1
Ohoo mamooka powlikum ee jati tralier making kiduwee,Positive,0
Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii,unknown_state,1
Chicking ile freezer il poyi nokkiya mathi aale kittum,unknown_state,1
Onnum parayanilla. Vere leval movie ayirikkum,Positive,0
Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam,unknown_state,1
Lufier trailer kandu odiyan kandavar undo,unknown_state,1
Raju ettaaaa ningal Vera level,Positive,0
Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ,Positive,0
Late aayi vannalum latest aayi varuvenne,Positive,0
Woow woww wow,not-malayalam,2
Lokal poyi Madhura raja teaser kanada,Negative,3
Oru marana mass chitramaavatte laleeta lucifer,Positive,0
Kuru potti olikknna 1k poojappura fans🤣🤣🤣,Negative,3
adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema,Positive,0
17 K views 102 K like 10K dislike,not-malayalam,2
Mohanlal prithvi fans like adik lucifer bamber hit akum,Positive,0
Jayasurya mass after long time.podi pooram,Positive,0
Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu,Positive,0
Ettante lucifer 100 cr club kadakumm enn parayunnavar like adicheee,unknown_state,1
Laalettan fans only hit likes here,unknown_state,1
Kure per dislike adich kuru pottikkunnund,Negative,3
Dislike adechath alla punnara makkalum anta veral നമസ്കാരം,Negative,3
Jagapathi Babu a Telugu fan here.,not-malayalam,2
2n part or kuch related kahani nxt hota acha lagta fans ko,not-malayalam,2
Fight dialoge bgm oru rakshayum illa,Positive,0
3 million ettanum pillerum,unknown_state,1
Ithu rajayude 3 strong Alla ettande Lucifer,Mixed_feelings,4
E padathinte making ushar aanenu thonunu.. Trailer kanditt padam kandathokem thallipoli aayirnu. But trailer pwolichu,Positive,0
Samyuktha vendayirunnu. :( Aishu pwoli ann,Negative,3
Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,Negative,3
Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu,Negative,3
JAI LUCIFER JAI LALETTAN JAI PRITHWI,Positive,0
Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck,Positive,0
MAMMOKKENTE ( BIG B2=BILAL )veranam ennu agraham ullavar undoo,unknown_state,1
Bro support koduthilenkilum dislike adikkathirunoode .,Negative,3
Aaa kochu edhaaa real fighter kannukalile theepori kidu,unknown_state,1
You use bots for likes and views,not-malayalam,2
swandam recordukal thanne thiruthunaa nadan pulimuruganekal odane daivame,unknown_state,1
Suraj ettan fans fans like ivide,Positive,0
Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa,Positive,0
3 * 2 strong............... Rajuvettaaaaa u nailed it,not-malayalam,2
E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰,Positive,0
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya,Negative,3
Ee trailer kandapo KGF ormavanavar adikk...,unknown_state,1
Ith oru onnonnara item aayrikkum,Positive,0
Njan mammoty fan Ann pakshe enikk ishtapettu,Positive,0
Pirates of carbien aarum kanditilananu mone ninte vicharam,Negative,3
Ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum,unknown_state,1
Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli,Positive,0
Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale,Positive,0
japan ne kali aakan maathram nammal aayitilla suraj ettaa :/,unknown_state,1
im a katta lalettan fan....but ithu hit aaakanam..heavy,Positive,0
Katta vishayam oru rekshem illa etta fdfs,Positive,0
Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude... Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,Negative,3
Oru dubbing padathinte trailer pole. kidu,Positive,0
Myarakam ikka Hollywood direction and visuals,Positive,0
Mommookka mass entry.... By a lalettan bhakthan....,not-malayalam,2
Ini kando... Adiude Ideude Vedi pooram......🧨🧨,Positive,0
Innu trailer'um,unknown_state,1
Aa kannukal mathram mathi a character depth mansilkan laletta.....,Positive,0
Trailer Oru rakshyum illa adi poli jayettan takarkkum,Positive,0
Dislike adichavarokke ith okke kanditt engane dislike adikkaan saadhikunnu uvve,unknown_state,1
Waiting from die hard rajuvetan fan..,not-malayalam,2
Ee Padam Kolamavukayaanengil it will be because of Peter hein,Negative,3
Movide peru kandu dislike adikaan vannatha,Positive,0
Avalude name veykkunille avar lead cheyyunna film alle..,Negative,3
6000 suscribe ulladhil itt 22k suscribe414kview 91k like aaaakiyya ikka mass,unknown_state,1
Kidu bgm for ikka kidu movie super,Positive,0
MAMMOOKKAAA.... NIGHAL MUTHAANU....Nighal kola maassalla... kolaveri maasaanu.....,Positive,0
Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru,unknown_state,1
Deleep atta padam orappu maga hit,Positive,0
ee padam 8 nilayil podannamennju prarthikunnju,Negative,3
Ikka i lv uuuuu big screen kandolan waitinggggg,Positive,0
Ee padam hit aakum ennu orappullavar enik oru 100 like taa,unknown_state,1
trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu,Mixed_feelings,4
Ayye poraaa.... lalettan nu role ille??,Negative,3
Vineethangil adu supero super chodikanundo allea vineetheaaa,Positive,0
Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka,Positive,0
Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu,Positive,0
Enta ponno ikka kalakum van trailer,Positive,0
Entammo ikka powli powli ...heavy item,Positive,0
Ee trailer vachaaanooo luciferinodu muttaan varunnath,Negative,3
Odiyan 2D Animated trailer,not-malayalam,2
16 k views 55 k likes,unknown_state,1
11million aayo enn nokaan varunnavarundo ??,unknown_state,1
Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan,Positive,0
Inn ni8 full repeat adich kanan ponavar ivide like adicholu,Positive,0
Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie,Positive,0
Edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath....?,unknown_state,1
Just 1min etra per page il und,unknown_state,1
Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super,Positive,0
Moood poyi mood poyi aa sabune kandappol mood poyi,Negative,3
Dislike adicha pullanmarude mugathulla adiyavatte oro likum,Negative,3
Ekka @ madhura Raja and lalettan @ Lucifer... 2 padam iragan pokuvane...oru tight competition prethishikkunnu,unknown_state,1
:19 Ee scene theatril polikkum .... Lalettta :):>3,Positive,0
njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm,Positive,0
Vivek oberoi best villan powli 🤩🤩🤩,Positive,0
E trailer 5 il kooduthal kandavar like,unknown_state,1
Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu,Positive,0
Trailer oru rakshayum illa 3 vattam kandu Not the point aarudeyum fan alla,Positive,0
Ambooo Roman ezunettu EPIC loading,Positive,0
Powlii powlii...last dialogue comedy anenkilu kidlm tyming,Positive,0
Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam,Positive,0
Trailernu katta wait cheythirikkunna ethra aalundu ivide,Positive,0
Kashttamund!! Paavam chinnane enthina konne??Rakshapeduthi koodarunno?Minister Rajayil chinnane pratheekshikkunnu... Chinnaraja fans adi like!!,unknown_state,1
Happy birthday day my mammookka,not-malayalam,2
oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club adichaaaaaach,Positive,0
Priya kuttoos nte teaser aayinankilu eppaze million views aavateenum,unknown_state,1
Aa last nadatham kanditt best actor orma vanna arelum undo..?,unknown_state,1
Ente ichayooo.... Athre parayunnulluuu.... Ennu manasil karuthiyavar hit like here.....,unknown_state,1
Police ill minimum hight elle Aju oke police,Negative,3
500k enn paranjitt 410k ullollo real time views 🤣,unknown_state,1
Lalettane prathheeshich ithuvazhi vannavar like,unknown_state,1
Orika kanda veendum veendum kanan thonnum..,Positive,0
Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..,unknown_state,1
Haavu samadaanamaayi Editor mahesh narayanan,unknown_state,1
Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn,Negative,3
EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu,Positive,0
Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!,unknown_state,1
ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha,Positive,0
Rajuvetta ningal mass annu. Ammoo enna oru feel. Laletta,Positive,0
Uff mwonr kinnam kaachya item,Positive,0
Appo nayakan mammukka alley.....e piller aaaana,unknown_state,1
madhura rajayum usharavatte ...from a lalettan fan .,Positive,0
CHANDU vine orma vannavar ivde common,unknown_state,1
Sambavam kollam but,Mixed_feelings,4
Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive,0
Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......,Positive,0
Please Upload moha mundiri video song,unknown_state,1
Ee padam kand chirich pandaram adangi,Positive,0
Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla,Negative,3
Trailer kandapol bahubali orthavar like adi,unknown_state,1
Hvy iteam,Positive,0
212k views,unknown_state,1
Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*,Positive,0
Fight vere level teateril paper kure keerendi varum ichayoooo,Positive,0
Trailer vere level Anu makkale🤩🤩Mammookka uyir... mamangam_november 21,Positive,0
Ethilum valiya masSs eni ella Padam 100 crore loading,Positive,0
Cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano?,unknown_state,1
E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best,Mixed_feelings,4
mammookkayude scenes pause cheytu kandavar arokke undu,unknown_state,1
mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty Anu,unknown_state,1
Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....,Negative,3
Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi,Positive,0
Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting,Positive,0
69 years old Megastar Nammude Mammookkaa oreee poli mammookkaa,Positive,0
Releasinte aan thanne pokum ennu Urappullavar adi like,unknown_state,1
lalettan marana mass..intha movie bayangara hit adikkum...love from tamilnadu,not-malayalam,2
Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu,Positive,0
Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,Negative,3
Vineeth sreenivasan presents,Positive,0
Unni Mukundan fans like here,not-malayalam,2
Ikkaye kanan vendi mathram fdfs urapichavar like,Positive,0
Ente ikkkaaaa kola mass YouTube hang aanu makkale,Positive,0
Gopi Sundar and ikka fan from malappuram,not-malayalam,2
Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....,Negative,3
yeshu das saarinte oru song ithil pratheekshikkaavo,unknown_state,1
1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan,Positive,0
#HAPPY BIRTHDAY | SULTHAN OF MALAYALAM CINEMA | #MAMMOOKKA,not-malayalam,2
8hr 2 million viewers one name laletan ...n prithvy,not-malayalam,2
Lucifer pola nalla oru padam avatte,Positive,0
10M adikkum ennullavar aadhyam like onn adiche,unknown_state,1
Negative aayi onmilla eattn polikm,Positive,0
Njan mathram ano padam kand വന്നു veendum trailer edth noki veendum padam kanan poyathangane പോയവര്‍ അടി like,unknown_state,1
2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess??,unknown_state,1
Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike,Positive,0
Nice,not-malayalam,2
Pwlichu........... Ikkka pwlichu മാസ്സ് പടം.. ... Hollywood cut..,Positive,0
Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all,Negative,3
Ambooo Ettan kidu acting Raju Ettan poli making,Positive,0
onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩,Positive,0
Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing,Positive,0
Ejjati item ettan pwolikkum all the best raju etta,Positive,0
Ohhh my god... endhokke looks aanu... onnum parayaanillaa... katta waiting lalettaa...,Positive,0
Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo,unknown_state,1
After 1M views & 150K likes,not-malayalam,2
Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu,unknown_state,1
Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣,Mixed_feelings,4
10 million ayo ennu nokkan varunnavar like adi,unknown_state,1
Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo,Negative,3
Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo,unknown_state,1
Trilar kanditt padam. Valiya pratheeksha illaa,Mixed_feelings,4
Wtng laletta...,Mixed_feelings,4
Looks like netflix series oru film aayi coloring Mach aavunnilla,Negative,3
ooro secondum mmakkayude entrik vendi waiting aayirunnu,Positive,0
Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko,unknown_state,1
tovinok pakaram unni mukundan mathiyarunnu....,Mixed_feelings,4
Panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi ....Pinne joraa,unknown_state,1
Soundil kurachukoodi bass koodi undayinnel kidilan,Mixed_feelings,4
Lalettaa & Rajuettaa go ahead,not-malayalam,2
Love you mammoookhaa.... Mammookha fans hit like,not-malayalam,2
Lalettan faanan but ee trailer kidukki tto,Positive,0
Adipoli,Positive,0
Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka,Positive,0
Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn,Positive,0
Prathviraaj,Positive,0
Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....,unknown_state,1
Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu,Positive,0
suraaj looks like our kunjunni mash......,not-malayalam,2
Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane,Positive,0
Veruthayayi kashu poyi pratheeshyode arum pokaruthe,Negative,3
Super mega hit aaayirikkum mark,Positive,0
Aaaa mundum pookal shirtum vere arund ithra look,Positive,0
Trailer kidukki..film ith pole nannaya mathiyarnnu.,Positive,0
Njan maathramano comment nu like kittiyo enn veendum veendum nokkunnath,unknown_state,1
Enta ponno ithu verae level Iove u ikka,Positive,0
Uff ente ponoo wait chyan vayye ikka,unknown_state,1
Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..,unknown_state,1
Korach adhikum award kude undakendi verum enn toonna suraajettante acting kanumbo,Positive,0
Njan oru mohanlaal fana Pakshe ith vallathore vishayam filim aaairikkkum,unknown_state,1
Wow..Maranamaas Trailer Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS,Positive,0
Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE,Mixed_feelings,4
Super star rajini sir fans hit likes,not-malayalam,2
0:15 aa musicinu vendi wait cheyyuva,not-malayalam,2
Makkale onnum nokkanda ninghal vanna bakkam enna 1:54,unknown_state,1
Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....,unknown_state,1
Ith kidukkan aakum... Eagerly waiting... lub you ikkaa from eattan fan...,Positive,0
173k views and 173k likes bakki kore mammunni fans 18k,Negative,3
Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi,Negative,3
Hit like if you are lalettan's fan,not-malayalam,2
Trailer kand romanjam Vanna ettan fans like adikn,Positive,0
ithu oru 5 million views aakkanam..,unknown_state,1
Mohanlal looks like as he was in jilla....,not-malayalam,2
Thrissur slang paliyenn thonnunnath enikk mathramano?,Negative,3
America atom bomb itittu thirnilaaa pinaa allee bengalikal!!,unknown_state,1
Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer ethra pravisham kandittum mathiyaunnilla,Positive,0
Kidu trailer. iniyulla Kali ikkayude pilleru nokkikolam triple strongode,Positive,0
Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.,Positive,0
Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣,Negative,3
Padam pottum... Charithram akanamenkil marakkar varanam,Negative,3
Prithviraj. Nighal oru marana mass sambavam,Positive,0
Kerala die hard mohanlal fans like here,not-malayalam,2
Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam,Negative,3
Odiyan iruttinda raja Enda ethra Kali kandittulladhaan ne Odiyan odi odi odiyan,unknown_state,1
Katta waiting madura raja mammokka kidu mass,Positive,0
Tamil Nadu Mohan lal fans hit like,not-malayalam,2
Ikkakk..valla mass padavum cheythude....ithorumaathiri senti...cop,Negative,3
pora,Negative,3
Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa,Negative,3
Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam,Positive,0
Cinema iragiyittum view cheyyunnavar like adi,unknown_state,1
then : kanji adukkatte manikya now : Kill that bastard sivane! :/,unknown_state,1
Prithiraje than ee pani nirthiko enthon kopile padamado,Negative,3
Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..,Positive,0
Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde Villan dadygirija same Athe irutham,Mixed_feelings,4
Cinema vizag kandu... Polichu ... Super duper hit,Positive,0
Onnpodaaa challenge inne undo 1 hour 50 k likes annn madhara rajj kalikann venda,Negative,3
Poster kanditt feel good anenn karuthi kanathe vitu,Positive,0
Mammootty fans polum like adichu pokum adaru trailer,Positive,0
Lucifer onnil kooduthal thavana kandavar onnu like adikku ...,unknown_state,1
Havy havy super super kidu kidu 🤘🤘,Positive,0
Trailer oru rashilla kili poyi laletta poli anitta,Positive,0
Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra,Positive,0
Raja returnssss makkale....ithu marana mass padamaayirikkum,Positive,0
Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por,Positive,0
endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki,Positive,0
Theriyumile,unknown_state,1
Oru BEST ACTOR feel enikk maatramaano adiche,unknown_state,1
Lalettante ittimanikk...njanga ikkayude piller vaka best of luck,Positive,0
Antony perumbavor undaya monemarayirikum dislike adikunath,unknown_state,1
Heavy trailer,Positive,0
Ente laletta onnum parayanilla ningal mass anu.. ningale pole ningale ullu,Positive,0
Police ne kuttam parayuna,Negative,3
kidu katta waiting mamamookkaaaa,Positive,0
Ittimani mass ahnn manasuman,unknown_state,1
Pls pls pls dub in hindi,not-malayalam,2
Raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum,unknown_state,1
